商品评论,情感分析结果,评价倾向
"""一本好书。宝贝已经收到了，真的是物有所值非常满意卖家服务态度很发货速也快包裹严实没任何破损递小哥送总体来说次愉购呀下需要还会再买！与描述完全致,喜欢超出期望装仔细、流公司运""",0.9980088990367336,喜欢
塑封包装，商品完好。看纸质印刷应该是正版内容实用值得购买,0.263244933318434,不喜欢
这本书涉及实体建模、线性精力分析接触弹塑热应多动态等，既适合ABQUS 初学者和中级用户也为高提供了有的参考,0.998319043992539,喜欢
没有光盘和数据文件，可操作性不好,0.3091571381647593,不喜欢
作者通过自己的劳动，让我们这些初入门软件用户可以更方便直接了解和掌握abqus详细设置争取把全套集齐～,0.9507936036623579,喜欢
有参考价值。翻译的比较生硬,0.5307577342920816,一般
不错呢，有光盘供学习的。,0.9163217577387088,喜欢
东西还不错，唯一的遗憾是彩印！双十二物流有点慢可以理解。,0.9368217154438594,喜欢
我每个月林总要买很多东西，如果逐一评价 会崩溃所以特别制作下模版当你看到这段话的时候说明对此产品是满意后来者可放心大胆购然并非不负责任家好也花番功夫论！,0.9238190422907558,喜欢
"""宝贝已经收到了，真的是物有所值非常满意。卖家服务态度很好发货速也快包裹严实没任何破损递小哥送总体来说一次愉购呀下需要还会再买！与描述完全致,喜欢超出期望装仔细、流公司运""",0.9970154992662269,喜欢
在听钟老师烦闷的时候用段激情声音解还是可以,0.5202869034846399,一般
单位集体下购买，10多本书第二天就到了没有错误很好方便,0.8073957446153915,喜欢
相信高甲，希望物有所值吧包装都快散架了递速度还行西安仓发出的不过同一单下北京来比书天但是普通多辛苦员,0.2942098825228525,不喜欢
京东服务好，购物方便书正在用着很实满意。,0.9777425814440642,喜欢
真的很有用，不仅是司法考试对公务员也帮助,0.9920287176901843,喜欢
真题解析。不知道哪个刑诉老师最好，希望物有所值吧包装都快散架了盒子破递速度还行西安仓发出的过同一单下北京来比书天但是普通多辛苦员,0.9960986938377814,喜欢
特别好，很详细推荐购买！,0.9503845592126894,喜欢
16年版印，书就是个噱头跟李大师估计没啥关系所谓的套限量玩笑。节选本意思还买中华局全研读吧,0.9960050423578064,喜欢
书很好，价格也实惠而且选材独特与一般本并不重合。购只京东,0.9377578839581004,喜欢
正版图书，折扣价格合理。,0.6198177844854431,喜欢
还可以。发货很快好评,0.8563130122468109,喜欢
东西很好，十分的喜欢,0.8820399485604616,喜欢
配送还可以，书质量好大概翻了下是自己想要的!,0.6195480747786771,喜欢
商品质量好，正保障配送特别快服务态度也很！,0.9530936771606295,喜欢
不错，看起来是正版满意,0.9630590837832954,喜欢
不必要买的书，与李敖木有关系好,0.5079596476016097,一般
剛開始看，但是著還不錯慢閱讀期待更好,0.9086398163783816,喜欢
暑期图书各种活动，捡大便宜了！？京东搞开心伤钱包啊,0.6720216586902543,喜欢
总是要买的，京东个理想选择！,0.618686450140535,喜欢
红火恍惚呵哈,0.6010325872682178,喜欢
质优价廉，非常满意好评,0.8240055913434171,喜欢
不错，质量好非常满意,0.9535633763468683,喜欢
一直喜欢有视频的书,0.8149109347237631,喜欢
提前为新学期做好准备，假可以自一下印刷质量和内容都不错。,0.9679122835574805,喜欢
非常满意,0.7053469852104663,喜欢
不错，书挺好的啊！,0.9758875640790244,喜欢
看着包装就不错，物流更是一如既往的好!,0.9891028594939872,喜欢
印刷纸张都很满意，希望宝能喜欢,0.831221021124489,喜欢
非常感谢京东商城给予的优质服务，从仓储管理、物流配送等各方面都是做好。货及时员也热情有候不便收件安排间另行同在售后上以解客户忧患除万难我们购体验,0.5200398314059816,一般
可能是比较抢手的书，需要从外地调所以快递慢了一点。,0.014815938535112427,不喜欢
太贵了，我还以为典藏版是精装的结果不那什么叫呢？平定价可怕,0.5550853903616414,一般
在京东买了很多书，囤起来慢读。,0.9289630856714992,喜欢
还可以，！,0.477069601737677,一般
不错的东西啊,0.8623218777387431,喜欢
书不是全本，节选的人物传记。阅读没有障碍排版可以纸张一般总体评价四星半给个五,0.9119113253023271,喜欢
让孩子复习用的，比书店便宜主要是物流给力快递员服务好。,0.9759998513994022,喜欢
不错，备课用案例挺长的全是比较新鲜晒个目录,0.9485927946479639,喜欢
呃，还是一样的套路建议买教学案例那本,0.7709125814410077,喜欢
书编写很好，方便查询还包括大事记开阔视野,0.9993018778222577,喜欢
第一次上《思想道德修养与法律基础》课，买回来参考下内容很有启发不错的本书。只过平台让报税号开得还是老式票这销困难了希望尽快改进,0.9936190326745421,喜欢
书的质感不错，配套使用京东自营送货就是快每次着急什么第一时间选择从未失望！,0.6124275028014591,喜欢
书非常不错，东西多又好玩一切都。,0.9722861067589986,喜欢
备课用，案例较新有参考价值。,0.7419421275745974,喜欢
书很好非常有用，可以备课了！,0.9362239641421057,喜欢
买来备课用，案例还挺新实的。,0.7504813037126419,喜欢
给讲的课程不一样,0.7362364695815765,喜欢
好的,0.6558628208940429,喜欢
初中要求的必读书，希望阅给孩子带来知识和快乐。,0.9995999183259697,喜欢
孩子非常喜欢看三毛。信任京东目前家里的所有用品几乎都在购买，物流还质量保证以及售后是我选择原因本来药最谨慎但相也希望一直将正坚持到底严格把关这长久发展之键加油！,0.9999776630530625,喜欢
先买了一本《三毛流浪记》，孩子看得很好我也跟着重温儿时快乐。他发现封底还有这四的介绍想来支持立刻下单哈京东飞速送达开心极,0.9999999961616863,喜欢
书是好，要能再便宜点就了一直在京东买西质量有保障物流快最重的售后。,0.885963497298757,喜欢
一套棒哒?,0.4737672181921908,一般
孩子们特别喜欢的一套书。百看不厌，值得推荐,0.9934209264279021,喜欢
每年京东618活动都是那么的给力，尤其购买图书绘本满40实际付款超值!无论老大拼音故事DK系列还二钟爱各种不乘机多屯一些说过去,0.9846557598391948,喜欢
都在京东购书，发货速度隔天就到是正版质量很好内容丰富小孩子喜欢看评。,0.7339847537070375,喜欢
书质量非常好，喜欢性价比超高满意儿子看三毛买了一本又不小心整套都齐的插图是彩色棒动画片强大多人！,0.9999999393391162,喜欢
家里的小朋友刚读完一年级，三毛这本书上有拼音孩子基都能懂！很适合个纪阅强力推荐非常喜欢,0.9999780278359988,喜欢
预习用非常好，群里推荐的。,0.9229130781273308,喜欢
非常不错的图书，值得购买,0.9706386945815059,喜欢
买了1-84，又得一本的收。,0.17483053640577473,不喜欢
从小看到大~超级喜欢柯南质量不错，满10减5买的划算.,0.9793722832855344,喜欢
有包装的精致一些，单独买就不敢恭维了,0.5664833120493094,一般
这是一定要买的，不用说另外整个快递和装帧还很棒虽然图书节但物流依旧那么赞,0.9876570578455394,喜欢
质量一般，随便看还是可以滴收藏留算了,0.535717164372523,一般
之前买了一箱子，到84现在凑90粉开心,0.14754378368664,不喜欢
超级满意，之前在某宝补了空缺的这次无间看到京东有活动立马齐后面！很过塑包装棒哒,0.08777067625394797,不喜欢
书还可以，然后一直很喜欢柯南没想到京东上也有卖的真方便,0.9320166807402452,喜欢
书依然很好，包装只用塑料袋…,0.6245436126181898,喜欢
"""很不错,喜欢box set现在工作忙了经常忘一本买这样超级方便`""",0.9083822030416279,喜欢
昨天下单书本已收到，物有所值,0.8176348172091454,喜欢
很不错的书。,0.9452732576852031,喜欢
一直信赖京东自营店。,0.9692350749395592,喜欢
正版货，字迹很清楚京东好棒！,0.9094482220984702,喜欢
帮朋友买的，速度很快赞一个！,0.995395755109787,喜欢
不错！赞一个小孩很喜欢再下次还买它,0.9891140968347827,喜欢
不错，书本责量蛮好的无气味物有所值,0.9813079741845343,喜欢
非常好，京东快递就是棒！全部5星,0.17483670762392112,不喜欢
挺好的，就是包装上有一些损坏,0.4323879849298673,一般
评价订单,0.20621466279522627,不喜欢
针对新课标的辅导书籍，出版得非常及时！,0.9454287452303406,喜欢
还好的，小孩比较喜欢。评,0.6772705698701847,喜欢
"""东西很好,喜欢因为本仙女懒不想每一件商品都样地去写评所以特意了*论。但是这无质量、材还款式肯定中的最后当然可能忘给个宝们购物参考产非常值得买!""",0.45251082820787747,一般
一诺千金，读音yí nuòqiājī。是汉语成意思指许下的个言有价值比喻说话算数极信用也叫出自《史记·季布栾列传》,0.8536373152531602,喜欢
书的质量很好不错哦，值得大家购买！适合男孩子看棒喜欢加油,0.999656518788441,喜欢
京东的书真是很不错到速度非常快说。包装我满意，最主要就质量没有任何破损,0.9665308155086909,喜欢
书本质量很好，孩子特别喜欢看可以说爱不释手天让我给读后会经常光顾！,0.9964704944381108,喜欢
一般吧，都是老叶对得起这个价格建议买高档的,0.9200832742169298,喜欢
吃喝用，现在都来京东！为消费者把关值得我们信赖,0.8875394542823716,喜欢
男孩喜欢，给朋友子买的。9元10本又用2券7,0.5230824394092046,一般
京东的活动，9元十本买来送给孩子陪他度过假期时光！,0.9802524805066481,喜欢
好评，速度很快。书包装的也比较收货后中没有发现褶皱,0.49389219311034316,一般
给小孩买的！还可以,0.5497761651365404,一般
拿到手几天了，工作有点忙。还没看,0.2311317229079215,不喜欢
还不错，看再说吧,0.7793089833111431,喜欢
有点小用处，没事看呗。,0.5398344569796746,一般
这套书的印刷，作选择都不甚够精细前言尚可读。个价钱确实是太贵了！相匹配,0.970997247900416,喜欢
买了一堆书，暑假慢看打对折很便宜！,0.8491084255976499,喜欢
Very God～,0.23082833962758653,不喜欢
"""非常感谢京东商城给予的优质服务，从仓储管理、物流配送等各方面都是做好。货及时员也热情有候不便收件安排间另行同在售后上以解客户忧患除万难我们购体验",0.5200398314059816,一般
,0.5262327818078083,一般
"Thank youvermcftxlsipdbJg,w.DA""",0.8182313426953005,喜欢
挺好玩的一本小书，凑单买只是闲来无事翻原先以为图会比较多但实际也没有少早知道就电子啦。我10-5价话性低了,0.32401598549555444,不喜欢
内容很轻松，好?,0.88864928273217,喜欢
在ap上看到好多装修的朋友都会用这里讲东西、很人推荐本书不想网还是买来纸板有质感插画风格独特喜欢个了腻,0.9997061771513852,喜欢
不错！真心喜欢这本书，收纳的是个大问题更适合已经买房子家庭过一些小知识可以活学用而且有插话看着也烦闷特别易懂,0.9999336641236558,喜欢
书封挺好看的 里面就有点简单了都是图内容基本上公众号,0.8509427788683936,喜欢
很好玩的一本书，轻松做家务。谢京东送货师傅优质服,0.9346235475853967,喜欢
"""非常感谢京东商城给予的优质服务，从仓储管理、物流配送等各方面都是做好。货及时员也热情有候不便收件安排间另行同在售后上以解客户忧患除万难我们购体验",0.5200398314059816,一般
,0.5262327818078083,一般
"Thank youvermcftxlsipdbJg,w.DAG！""",0.8182313426953005,喜欢
产品质量不错，赶到搞活动的时候买优惠力度比较大价格挺便宜值得推荐。,0.7281043494528624,喜欢
没想到双1期间，快递竟然隔天就能收了。很喜欢这本书赠送的是真彩钢笔一看牌子觉得质量肯定有所保证字体、内容都不错！,0.02471120040901842,不喜欢
本书主要围绕LNG液化工艺及储运中所涉的低温装备，研究开发流程过控制设计算技术。,0.9535612416818399,喜欢
包装的很好，京东质量值得信赖一直在买西放心而且快递只有个字“块”嘿！,0.9774689273191768,喜欢
图纸很多，表格挺参数质量也可以。,0.9597535838998329,喜欢
京东的书还不错，这个是从外地调时间也长！,0.7006462944291373,喜欢
看上这款宝贝已经很久了，终于到手挑来去家事实证明我的眼光还是好哟没有 让失望做工和质量都发货快物流,0.9995994519015667,喜欢
书收到了，没有什么破损的地方。本人在机械厂上班天开50、8摇臂钻这几看快一半定参考价值,0.0020306898487256753,不喜欢
书是正品，但不我想要的！钳工实用技术手册结果下单装配?,0.6682989534887591,喜欢
粗看了一遍，很多内容都是不错的复习毕业几年忘差,0.9779405062588269,喜欢
正版书籍，京东自营就是可信时不有优惠活动极度好评哦！,0.13038468810890658,不喜欢
书应该是正版的，纸质量不错公司职工屋添置籍希望员可以多借阅发挥能。,0.9727617643683233,喜欢
好,0.6558628208940429,喜欢
还可以 一直京东买杂志方便,0.8204370561903694,喜欢
一直京东买杂志还可以方便,0.8204370561903701,喜欢
好，很给孩子加深记忆有利于学习。值得购买！,0.9999133710645849,喜欢
看起来不错，跟着教材循序渐近希望对孩子有帮助。,0.9978431226406193,喜欢
"""非常好的一本书,每学期都买孩子很喜欢""",0.9875481039947298,喜欢
实用的工具书，孩子开学必备！,0.8777568221000804,喜欢
物美价廉，满足使用的要求,0.7857142857142858,喜欢
质量可以，不过买错版本了。,0.628934722967937,喜欢
2本半是标准规范，卖得贵了不厚道。,0.17577963687622156,不喜欢
东西非常好，质量正品相信京从来没有失望过快递不用说很给力比在实体店买的惠其他地方放心而且速度还太棒了极！,0.7520116122522809,喜欢
京东半价买的，很不错就是编教材差劲多一都规范还给条文说明考试时候得带原本过去委太缺德了！图里面有体现标准厚度。感觉凑数如掉书格便宜点,0.9060964807894141,喜欢
备考吧，现在难度应该增加了,0.7962184807293756,喜欢
书有几页破损，纸张点薄,0.007867956803763843,不喜欢
书很厚实，重还没看,0.6320055845604434,喜欢
准备考吧，老了看这么多书累。,0.9146417174229619,喜欢
书不错，价格尤其好。囤货还没有过基础考试呢,0.9984745104716073,喜欢
正版书籍，印刷质量不错用了优惠券聊胜于无只是单本塑料袋包装边角有点磕坏,0.6847506642768152,喜欢
非常不错的书，物流也很快赞一个?,0.9973092502893267,喜欢
还为了绿军烦恼痛苦人可怜我是继续不悱发内容类固醇呢快点解放你的康多贾尼福克斯老挝日常居家减肥,0.9999648942453956,喜欢
信赖京东图书，质量好物流快还没有看纸张是挺的,0.9871382127368364,喜欢
给单位买的，应该不错吧,0.796158587291386,喜欢
宝贝很好，速度快！喜欢京东商城,0.9932313850554129,喜欢
物流速度很快，头天下的单第二就到了。京东牛,0.9255894263809403,喜欢
书不错，还有折扣好评,0.8266692980420344,喜欢
送给孩子的礼物，他们很喜欢！,0.9823895875588391,喜欢
非常实用，努力学习,0.9370603367677806,喜欢
买上京东，速度快是正品每次评价有豆当我要好时就用这个粘贴的给差候认真写了！。,0.9974540070081391,喜欢
。,0.5262327818078083,一般
书本崭新，内容全面孩子很满意我也可以看提升一下自己的水平?,0.9914666632574425,喜欢
字典挺好的，著名幺建华老师都说买来试祝我能通过吧！,0.9958422630485189,喜欢
很好，不错希望对考职称有帮助~！,0.9991132693488022,喜欢
外壳上稍有一点磨损，总的来说还是不错字迹清晰书本很厚实内容也全面。好评！,0.9026517568589434,喜欢
东西很好，排序非常科学。印刷质量也不错,0.858461804712337,喜欢
书的质量还是不错，先屯着备用,0.8914802827280326,喜欢
内容涵盖很全，职称英语考试中好用值得,0.9995376677810346,喜欢
希望对我的考试有用。这是经朋友推介～,0.9118808398455932,喜欢
老师指定买的书，字体印刷清晰是正版。,0.9913957497718643,喜欢
嗯、看着还不错，随手翻了哈应该是正版,0.8795000269127271,喜欢
京东优惠价叠券，很划算！轻型纸印刷厚一册却便举若不错的书喜欢快递就用说了又好!,0.7780826276422161,喜欢
厄普代克作品：兔子，跑吧好书再版质量比之前价钱也,0.9977228104566297,喜欢
大名鼎的兔子四部曲终于再版了，定价六十多一本洛阳纸贵？,0.9987096077888673,喜欢
好学习天向上，希望京东越来。,0.9844314585820207,喜欢
值得购买、收藏的书，需要认真阅读。,0.9804051777611584,喜欢
好书，很满意适合收藏的…,0.9703647379136898,喜欢
这套书真是太好了，值得反复阅读的佳作,0.9966881937668742,喜欢
书的品相很好，快递给力评！,0.28251959717071395,不喜欢
书已收到。屯起来，有空看,0.9606823000409314,喜欢
618活动买，平时把想要的都收藏了每年这候优惠券可以叠加使用太合适虽然送货依旧很快京东小哥负责说今天全是书…,0.9154398833965111,喜欢
"""商品评分",0.33820356192146095,不喜欢
,0.5262327818078083,一般
"5请至少填写一件的价买家印象般吧背面可当镜水流大出均匀量很方式多花洒头质好顺畅自""",0.16272420420661415,不喜欢
破损,0.19719101770284309,不喜欢
一直都在京东购物，流如既往地快速货品正版很满意！,0.9748629457723673,喜欢
下次，关于官员的文章合集千万别买没错～,0.12563143413893707,不喜欢
这一本超级好！吹爆它 作为高学生我觉得的答案解析还有翻译都特别准长时间坚持帮助成绩提,0.9923046024590019,喜欢
希望买自营的东西，一个速度快二是方便,0.5737865677904957,一般
书看起来质量不错，希望对自己有所帮助。,0.9253039394555614,喜欢
专业角度介绍相关内容，还不错的,0.9554879907893885,喜欢
很好 喜欢希望京东能够多搞一些图书优惠活动推全民阅读,0.9635893083186347,喜欢
非常好的科普书，孩子喜欢大家都爱看,0.9995809055279451,喜欢
好书，包装不错,0.9247378401665655,喜欢
还好,0.6986352350530262,喜欢
写的不好，多处出现事实性错误。,0.18684489721353215,不喜欢
注册公司 代理记账,0.11364467606304163,不喜欢
趁着双十一囤的，先放在家里慢看！,0.8057954078664634,喜欢
京东双十一入手的，每满20-1再用了3券价格很实惠；对于区块链这新兴事物感趣尤其是未来发展趋势。希望本书能答疑解惑将释清楚,0.9991641253902425,喜欢
宝贝质量很好，用着方便。,0.9212241926665447,喜欢
构建价值互联网的角度看，区块链出现意味着从0到1。正因如此本书章节结与常见体例不同第开始文字货币起源发通过论述人类信息传递和输手段进步说明技术诞生必然性用深入浅语言讲解质、运行原理颠覆潜力以及状未来；2宏观了带新产品机遇包括数金融物一代基础设施3则较为具地在业中可实应场景4后记部分作者对话形式回答读关心问题：离我们还有多远,0.9999999999999993,喜欢
书很不错 由浅入深可读性强喜欢这本让我了解到什么是区块链等完后再来详细评价。,0.9880305316084179,喜欢
"""质量非常好，与卖家描述的完全一致满意,真很喜欢超出期望值发货速度快包装仔细、严实物流公司服务态运送次购希更多朋友信赖．店主特我会再光顾可不以便宜点带来你买。思评价晚了东西！这个是人她贴心让感到温暖热情下还有机合作祝生兴隆乎料谢""",0.9999999622710579,喜欢
物美价廉送货快商品赞！甲骨文丛书太经典了，值得购买!,0.9980500839179564,喜欢
速度非常快，第二天就收到了超赞的！,0.7842440316123506,喜欢
又快要到一年度的双十抢购热潮期啦，京东商城开始满减大促销外加各种优惠券机会难得啊每天早晚夜间只有时。就上a@晕头转向往物车里扔再凑单白在家收递门铃响个不停和新来小哥都成朋友了西感觉买值所流还是如既迅速表扬辛苦！谢,0.017716438453699968,不喜欢
提高孩的学习能力，快递也挺子喜欢,0.8710105586765449,喜欢
（2017春）单元双测 小学数三年级下苏教版JSY,0.9952908576462238,喜欢
凑单买的，还不错送货快,0.8604613089172014,喜欢
不错.,0.8612132352941176,喜欢
挺好的,0.8284246220999102,喜欢
漫画书，还可以。,0.8041705000930532,喜欢
书已收到?很是不错非常喜欢！继续支持京东呵,0.9586026181585354,喜欢
正版图书，值得购买。,0.899955327633692,喜欢
还不错,0.8830153175079881,喜欢
编者是有经验的对外汉语教师，适合现代课堂学要求,0.9998917699615967,喜欢
挺好的课本,0.9538064333613062,喜欢
不错的一本书，值得推荐读。,0.9930567763196533,喜欢
第一次买京东自营的书，物流太给力了很快会慢看觉得不错再来追加,0.7002785145263449,喜欢
很好的书，受益匪浅。推荐阅读,0.9949476575731604,喜欢
挤时间，多学习开拓思维长见识！京东的服务我满意。,0.9990828146097608,喜欢
刚到货，随手翻了先看个序言观点不错,0.819847758277678,喜欢
商品包装及物流速度都很好快给力，文字内容更有所值！,0.9582219213816162,喜欢
熟人看了还是不错的，但这个金钱与生活嗯主要想学一些关于财经方面知识我操,0.9991967771455791,喜欢
凯恩斯的预测失败了?,0.9527709942873223,喜欢
一次买了8本，现在京东发卷少并且多不可以累计减慢看。货从北上海广州仓库,0.011876899664160168,不喜欢
在京东买书很方便，正版图性价比高！以后还会再的~,0.9543115259838778,喜欢
原本在书城看到这套 不全还贵果断京东买纸质厚实色彩艳丽配图生动有趣是每个小朋友都必的寓言故事,0.9956495761468624,喜欢
物流很快，美价廉好评吧！,0.8280014660741066,喜欢
挺好！快递也,0.5733068015324465,一般
这本书虽然薄的但是画得很好印刷也不错,0.9517966842029663,喜欢
书非常好，快递速度,0.6871851170310667,喜欢
这本书读给儿子听时他都说人好傻，挺喜欢的,0.9213140071711349,喜欢
不错的，,0.8612132352941176,喜欢
还行吧。一般书被折得真难看,0.12357972219622582,不喜欢
第一次在网上给闺女买书本，说字很清晰没有味道信任京东以后还会继续！,0.1866955895641772,不喜欢
好评,0.44578313253012036,一般
迫不及待开封，最近迷上了诗歌买很多这是第二批,0.9878983450989324,喜欢
"""蛮好看的书，趁京东618 超级划算感觉哈谢强章泽天太.",0.9223209953931528,喜欢
,0.5262327818078083,一般
"鸡汤还没快""",0.31332928376720914,不喜欢
书还没看，给个好评先,0.22448664863879064,不喜欢
不错的，一次买了4本慢看包装都很好。,0.901588278772145,喜欢
"""优惠券只能买限定书，不怎么样。",0.03919189096642717,不喜欢
,0.5262327818078083,一般
"""",0.5262327818078083,一般
非常好！,0.6558628208940429,喜欢
很实用，还会继续购买,0.8982610157223412,喜欢
焦虑不代表努力，写的就是我自己呀学习,0.900504235634731,喜欢
很喜欢这本书，对于刚进入社会有大的帮助希望能深刻认识到自己以后路也要好规划值得拥、,0.9997179684025135,喜欢
还没看呢，给老公买的,0.4543162880549243,一般
还没开封，留着出差途中慢品读,0.33513676764820177,不喜欢
好书！值得信赖的京东下次还在自营买,0.9973385314169065,喜欢
《中国画技法.兼工带写》是花鸟的新，好！,0.7646045358691071,喜欢
很不错，内容丰富详实非常好的专业书籍,0.9959462788052625,喜欢
618活动买的，用了优惠卷一套那是相当实还没看毕竟讲义应该不错可以系统学习下中医。,0.9592979654085062,喜欢
还可以，,0.5746682977321914,一般
快递送的挺及时，书质量也很好,0.7566740137083992,喜欢
very-god/,0.5,一般
教辅资料一直买京东的，挺好价格也比书店便宜。,0.8792323052566705,喜欢
印刷质量一般，这个版本的《菜根谭》白话文翻译加入了者人理解 没有逐字句释可以和其他相对应地读研。,0.9977273819946062,喜欢
虽然我年纪大了，但是还想学历史于就买这本书。,0.9757077296735613,喜欢
很好，应该是正品自营的不会假。,0.7946639168737375,喜欢
正版图书，包装、快递都很不错赞。,0.9797400151081669,喜欢
这本书的装帧很好，只有五百多页显然不会是史记全部内容。选原著一小分,0.5583127382276342,一般
学校老师推荐购买的，希望孩子好看书！,0.999768147353382,喜欢
不错，儿子说好看懂。对历史很有兴趣,0.994256700266122,喜欢
很好看，京东正版物流快。喜欢,0.9752828657579088,喜欢
书一文不值。《史记》全12本纪、30世家7列传表8，共篇56字只选了…#终于发现这套国学典藏系是装饰品读再也在京东买?,0.9955074070566072,喜欢
收到货的感觉棒哒！好东西，物美价廉值得拥有绝对,0.97940788733164,喜欢
宝贝不错，包装严实是正版下次再来。,0.9819693961340784,喜欢
简单。细节不能详只有我自己摸索过也就是种大蒜头而已繁琐碎产量小如果与反来好，正物以稀为贵,0.9896208177702159,喜欢
书是好，可只有表格没实例不太哦。,0.7933548246270359,喜欢
暑假孩子们看书买还是在京东上比较方便。的种类也很多！各跨店铺满减活动都非常适用，价格划算,0.9987192603593571,喜欢
京东就是给力，优惠大送货快嘻让我抢到叠加券真太高兴了希望继续！,0.5673561498552419,一般
宝贝很不错，强烈推荐。,0.9850639758660127,喜欢
非常好的教材。内容丰富多彩，,0.8797432975893579,喜欢
这本小学教材全解非常的好!,0.98208974211854,喜欢
京东买书就是嗨，今天下手明来目品种多又解决问题好快！,0.20993595777074225,不喜欢
本书按照《语文课程标准》的要求，编写内容丰富信息充足知识点覆盖面全规律方法总结是教材同步学习工具。前预板块提供29种字5解词从4个角度介绍作者多层展示背景帮用们扫除阅读“拦路虎”为深入理做好备,0.9999992805095662,喜欢
很不错的学习资料，孩子一直都在用这个觉得内容非常丰富能帮助好。,0.9945296774469249,喜欢
书中有典型例题，思路分析。还基础知识整理利于学生掌握要领非常感谢！,0.9999899524846049,喜欢
是一本提前预习的好资料，题类丰富！,0.976306472292527,喜欢
非常好，性价比高女儿很兴。,0.9889431093743408,喜欢
不错，分析的很仔细,0.9904342528176437,喜欢
老板人很好，要的有点急给现上架商品谢！,0.33977396686159056,不喜欢
内容非常丰富，开阔了自己眼界。收获很多,0.9928091699262177,喜欢
虽然后了几天，不过也感谢！错,0.5336879490460944,一般
正版，很有用京东折扣力度大划算。书讲解系统对复习帮助式设计合理科学非常不错！,0.999966061600435,喜欢
买到就是赚，书质量不错期待学做！,0.9590720983694,喜欢
书一般，手法单没创新概念不太好。,0.7182694346648002,喜欢
东西还行！说实话我初学者看得有点懵穴位，拔罐标记要拿三棱针刺血真的逼了,0.9827620612221711,喜欢
书的质量没话说，至于内容如何需要临床验证京东配送非常给力很满意赞一个,0.986488144013731,喜欢
可以在家庭学习了解，印刷排版质量也好,0.9639061235218649,喜欢
本书的印刷排版质量不错，内容也很好,0.9703167280519077,喜欢
很实用的一本书，印刷排版质量也好,0.9405322423542467,喜欢
初次接触刺血疗法～感觉内容比较多,0.897293810643849,喜欢
挺好的，比较喜欢,0.9100461897346852,喜欢
内容少了点，不算比较新奇吧！,0.49395559622505103,一般
非常划算，用券买的京东让人放心！,0.9885709242249686,喜欢
又快好，支持京东！,0.8843251457483501,喜欢
太喜欢了，看惯国外绘本换成内的水墨画简直美上海术电影制片厂出品书推荐！,0.7627888951974339,喜欢
这才是中国孩子该看的绘本,0.9513041648103402,喜欢
非常完美的一套书，还带拼音女儿很喜欢京东小哥可爱。,0.999507750503628,喜欢
孩子喜欢，一起重新回到自己小时候。,0.9811327990967128,喜欢
薄的一本，适合大点孩子阅读胶板纸边角很锋利。儿童推荐书单多都是外国作品其实我们家经典动画也丝毫不逊色屯批年回忆和起看,0.9999802788182068,喜欢
